,0
0,000001
1,000002
2,000004
3,000005
4,000006
5,000008
6,000009
7,000010
8,000011
9,000012
10,000014
11,000017
12,000018
13,000019
14,000020
15,000021
16,000023
17,000025
18,000026
19,000027
20,000028
21,000029
22,000030
23,000031
24,000032
25,000035
26,000036
27,000037
28,000038
29,000039
30,000042
31,000043
32,000045
33,000046
34,000048
35,000049
36,000050
37,000055
38,000056
39,000058
40,000059
41,000060
42,000061
43,000062
44,000063
45,000065
46,000068
47,000069
48,000070
49,000078
50,000088
51,000089
52,000090
53,000096
54,000099
55,000100
56,000151
57,000153
58,000155
59,000156
60,000157
61,000158
62,000159
63,000166
64,000301
65,000333
66,000338
67,000400
68,000401
69,000402
70,000404
71,000407
72,000408
73,000409
74,000410
75,000411
76,000413
77,000415
78,000417
79,000418
80,000419
81,000420
82,000421
83,000422
84,000423
85,000425
86,000428
87,000429
88,000430
89,000488
90,000498
91,000501
92,000503
93,000504
94,000505
95,000506
96,000507
97,000509
98,000510
99,000511
100,000513
101,000514
102,000516
103,000517
104,000518
105,000521
106,000523
107,000524
108,000525
109,000526
110,000528
111,000529
112,000530
113,000531
114,000532
115,000533
116,000534
117,000536
118,000537
119,000538
120,000539
121,000540
122,000541
123,000543
124,000544
125,000546
126,000547
127,000548
128,000550
129,000551
130,000552
131,000553
132,000554
133,000555
134,000557
135,000558
136,000559
137,000560
138,000561
139,000563
140,000564
141,000565
142,000567
143,000568
144,000570
145,000571
146,000572
147,000573
148,000576
149,000581
150,000582
151,000584
152,000585
153,000586
154,000587
155,000589
156,000591
157,000592
158,000593
159,000596
160,000597
161,000598
162,000599
163,000600
164,000601
165,000603
166,000605
167,000606
168,000607
169,000609
170,000610
171,000611
172,000612
173,000613
174,000615
175,000616
176,000617
177,000619
178,000620
179,000623
180,000625
181,000626
182,000627
183,000629
184,000631
185,000632
186,000635
187,000636
188,000637
189,000638
190,000639
191,000651
192,000652
193,000657
194,000661
195,000662
196,000663
197,000666
198,000667
199,000669
200,000670
201,000671
202,000673
203,000678
204,000680
205,000681
206,000682
207,000683
208,000685
209,000686
210,000687
211,000690
212,000691
213,000692
214,000693
215,000695
216,000698
217,000700
218,000701
219,000702
220,000703
221,000705
222,000710
223,000713
224,000715
225,000716
226,000717
227,000718
228,000719
229,000721
230,000722
231,000723
232,000725
233,000726
234,000727
235,000728
236,000729
237,000731
238,000732
239,000733
240,000735
241,000736
242,000737
243,000738
244,000739
245,000750
246,000751
247,000752
248,000753
249,000755
250,000757
251,000758
252,000759
253,000761
254,000762
255,000767
256,000768
257,000776
258,000777
259,000779
260,000780
261,000783
262,000785
263,000788
264,000789
265,000790
266,000791
267,000792
268,000795
269,000796
270,000797
271,000798
272,000800
273,000801
274,000802
275,000803
276,000807
277,000809
278,000810
279,000811
280,000815
281,000816
282,000819
283,000821
284,000822
285,000823
286,000825
287,000826
288,000828
289,000829
290,000830
291,000831
292,000833
293,000835
294,000836
295,000837
296,000838
297,000848
298,000852
299,000856
300,000859
301,000860
302,000861
303,000862
304,000863
305,000868
306,000869
307,000875
308,000876
309,000877
310,000880
311,000883
312,000885
313,000886
314,000888
315,000889
316,000893
317,000895
318,000897
319,000898
320,000899
321,000900
322,000901
323,000902
324,000903
325,000905
326,000906
327,000908
328,000909
329,000910
330,000911
331,000912
332,000913
333,000915
334,000916
335,000918
336,000919
337,000920
338,000921
339,000922
340,000923
341,000925
342,000926
343,000927
344,000928
345,000929
346,000930
347,000931
348,000932
349,000933
350,000935
351,000936
352,000937
353,000938
354,000939
355,000948
356,000949
357,000950
358,000951
359,000953
360,000955
361,000957
362,000958
363,000960
364,000961
365,000962
366,000963
367,000965
368,000966
369,000967
370,000968
371,000969
372,000970
373,000971
374,000973
375,000975
376,000976
377,000977
378,000978
379,000980
380,000981
381,000983
382,000985
383,000987
384,000988
385,000989
386,000993
387,000995
388,000997
389,000998
390,000999
391,002001
392,002004
393,002005
394,002006
395,002007
396,002008
397,002009
398,002010
399,002011
400,002012
401,002013
402,002016
403,002017
404,002019
405,002020
406,002021
407,002022
408,002023
409,002024
410,002025
411,002028
412,002029
413,002031
414,002032
415,002033
416,002034
417,002035
418,002036
419,002037
420,002038
421,002039
422,002041
423,002042
424,002044
425,002045
426,002046
427,002048
428,002049
429,002050
430,002051
431,002053
432,002054
433,002055
434,002056
435,002058
436,002059
437,002060
438,002061
439,002062
440,002063
441,002064
442,002065
443,002066
444,002067
445,002068
446,002070
447,002071
448,002073
449,002074
450,002077
451,002078
452,002081
453,002082
454,002083
455,002084
456,002085
457,002086
458,002087
459,002088
460,002089
461,002093
462,002094
463,002095
464,002096
465,002098
466,002099
467,002100
468,002101
469,002103
470,002104
471,002105
472,002107
473,002108
474,002113
475,002114
476,002116
477,002117
478,002118
479,002119
480,002120
481,002121
482,002122
483,002123
484,002124
485,002125
486,002126
487,002128
488,002129
489,002130
490,002131
491,002132
492,002133
493,002134
494,002135
495,002136
496,002138
497,002139
498,002140
499,002141
500,002142
501,002143
502,002144
503,002145
504,002146
505,002148
506,002149
507,002150
508,002151
509,002152
510,002153
511,002154
512,002155
513,002156
514,002157
515,002158
516,002159
517,002160
518,002161
519,002162
520,002163
521,002164
522,002165
523,002166
524,002167
525,002168
526,002169
527,002170
528,002171
529,002172
530,002173
531,002175
532,002176
533,002177
534,002178
535,002179
536,002180
537,002181
538,002182
539,002184
540,002185
541,002186
542,002187
543,002188
544,002189
545,002190
546,002192
547,002193
548,002194
549,002195
550,002196
551,002197
552,002198
553,002200
554,002201
555,002202
556,002204
557,002205
558,002206
559,002208
560,002209
561,002213
562,002215
563,002216
564,002218
565,002220
566,002221
567,002222
568,002223
569,002225
570,002227
571,002228
572,002229
573,002230
574,002231
575,002232
576,002233
577,002234
578,002236
579,002237
580,002241
581,002242
582,002243
583,002244
584,002245
585,002246
586,002247
587,002249
588,002250
589,002251
590,002252
591,002253
592,002254
593,002255
594,002256
595,002258
596,002259
597,002260
598,002261
599,002262
600,002264
601,002265
602,002266
603,002267
604,002268
605,002269
606,002270
607,002271
608,002273
609,002274
610,002275
611,002276
612,002277
613,002279
614,002280
615,002281
616,002282
617,002283
618,002284
619,002285
620,002287
621,002288
622,002290
623,002291
624,002293
625,002294
626,002297
627,002298
628,002299
629,002300
630,002302
631,002303
632,002304
633,002305
634,002307
635,002309
636,002311
637,002312
638,002313
639,002314
640,002315
641,002317
642,002318
643,002319
644,002321
645,002322
646,002323
647,002324
648,002326
649,002327
650,002328
651,002329
652,002330
653,002331
654,002332
655,002333
656,002334
657,002335
658,002336
659,002337
660,002338
661,002339
662,002340
663,002341
664,002342
665,002344
666,002346
667,002349
668,002350
669,002351
670,002352
671,002354
672,002355
673,002356
674,002357
675,002359
676,002360
677,002361
678,002362
679,002363
680,002364
681,002365
682,002366
683,002371
684,002372
685,002373
686,002374
687,002375
688,002376
689,002377
690,002378
691,002379
692,002380
693,002381
694,002382
695,002383
696,002385
697,002386
698,002387
699,002389
700,002390
701,002391
702,002392
703,002393
704,002394
705,002395
706,002396
707,002397
708,002398
709,002401
710,002402
711,002403
712,002404
713,002405
714,002406
715,002407
716,002408
717,002411
718,002416
719,002417
720,002419
721,002420
722,002421
723,002422
724,002423
725,002424
726,002426
727,002427
728,002428
729,002429
730,002430
731,002431
732,002432
733,002433
734,002434
735,002437
736,002439
737,002440
738,002441
739,002442
740,002443
741,002444
742,002446
743,002447
744,002448
745,002449
746,002450
747,002451
748,002453
749,002454
750,002456
751,002457
752,002458
753,002459
754,002460
755,002461
756,002462
757,002463
758,002464
759,002465
760,002466
761,002468
762,002469
763,002470
764,002472
765,002475
766,002476
767,002477
768,002478
769,002479
770,002480
771,002482
772,002483
773,002484
774,002485
775,002486
776,002487
777,002488
778,002489
779,002490
780,002491
781,002492
782,002493
783,002494
784,002495
785,002496
786,002497
787,002498
788,002500
789,002501
790,002502
791,002503
792,002504
793,002505
794,002506
795,002507
796,002508
797,002509
798,002510
799,002511
800,002512
801,002513
802,002516
803,002517
804,002518
805,002519
806,002520
807,002521
808,002522
809,002523
810,002524
811,002526
812,002528
813,002529
814,002531
815,002532
816,002533
817,002534
818,002535
819,002536
820,002537
821,002538
822,002539
823,002540
824,002541
825,002542
826,002543
827,002544
828,002546
829,002547
830,002548
831,002550
832,002551
833,002552
834,002554
835,002555
836,002556
837,002559
838,002560
839,002561
840,002562
841,002563
842,002564
843,002565
844,002566
845,002567
846,002568
847,002569
848,002570
849,002572
850,002573
851,002576
852,002578
853,002579
854,002580
855,002581
856,002582
857,002583
858,002584
859,002585
860,002587
861,002588
862,002590
863,002591
864,002592
865,002593
866,002594
867,002595
868,002596
869,002597
870,002598
871,002599
872,002600
873,002601
874,002603
875,002606
876,002607
877,002608
878,002609
879,002610
880,002611
881,002612
882,002613
883,002614
884,002615
885,002616
886,002617
887,002618
888,002619
889,002620
890,002621
891,002623
892,002625
893,002626
894,002627
895,002628
896,002630
897,002631
898,002632
899,002633
900,002634
901,002635
902,002637
903,002638
904,002640
905,002641
906,002642
907,002644
908,002645
909,002646
910,002648
911,002649
912,002650
913,002652
914,002653
915,002656
916,002657
917,002658
918,002659
919,002660
920,002661
921,002662
922,002663
923,002664
924,002665
925,002666
926,002669
927,002672
928,002673
929,002674
930,002675
931,002676
932,002678
933,002679
934,002680
935,002681
936,002682
937,002684
938,002685
939,002686
940,002687
941,002688
942,002689
943,002690
944,002691
945,002692
946,002693
947,002694
948,002695
949,002696
950,002697
951,002698
952,002700
953,002701
954,002705
955,002706
956,002707
957,002708
958,002709
959,002711
960,002712
961,002713
962,002714
963,002715
964,002717
965,002718
966,002722
967,002723
968,002724
969,002725
970,002726
971,002727
972,002728
973,002729
974,002731
975,002732
976,002733
977,002734
978,002735
979,002736
980,002737
981,002738
982,002739
983,002740
984,002741
985,002742
986,002743
987,002745
988,002746
989,002747
990,002748
991,002749
992,002750
993,002751
994,002752
995,002753
996,002755
997,002756
998,002757
